3 20
  1 0960 21
  2 0809 20
  3 0008 19
  4 6810 20
  5 0008 19
  6 0060 18
  7 1080 19
  8 0920 18
  9 6009 17
 10 8790 18
 11 2087 17
 12 0070 16
 13 9090 17
 14 8010 16
 15 7030 15
 16 9050 16
 17 1000 15
 18 3050 14
 19 5700 15
 20 0707 14
 21 5047 13
 22 0200 14
 23 0032 13
 24 4020 12
 25 0060 13
 26 3030 12
 27 2060 11
 28 6100 12
 29 3201 11
 30 6092 10
 31 0650 11
 32 0036 10
 33 9070 9
 34 5000 10
 35 3030 9
 36 7080 8
 37 0100 9
 38 3371 8
 39 8003 7
 40 0200 8
 41 7252 7
 42 0062 6
 43 0480 7
 44 5004 6
 45 6000 5
 46 8600 6
 47 0096 5
 48 0010 4
 49 0580 5
 50 9075 4
 51 1090 3
 52 8000 4
 53 7100 3
 54 9051 2
 55 0800 3
 56 0038 2
 57 5080 1
 58 0800 2
 59 3508 1
 60 8005 0
